,wardName,wardNo,area(sq km),totalPopulation
622,Kunnathanam,623,15.57,20573
623,Kuttoor,624,10.2,19652
624,Malayalapuzha,625,27.53,17033
625,Mallappally,626,12.41,17712
626,Mallapuzhassery,627,12.45,11784
627,Mezhuveli,628,14.44,14535
628,Mylapra,629,10.36,10258
629,Naranganam,630,20.42,16452
630,Nedumpuram,631,8.49,12791
631,Niranam,632,13.17,13445
632,Omallur,633,14.54,17611
633,Pallickal,634,45.43,41737
634,Pandalam Thekkekara,635,19.42,18366
635,Peringara,636,16.5,21001
636,Pramadom,637,37.1,31251
637,Puramattom,638,14.66,14069
638,Ranni,639,15.64,13445
639,Thannithodu,640,43.5,13012
640,Thottapuzhassery,641,14.46,14469
641,Vadasserikkara,642,59.51,21755
642,Vallicode,643,18.86,20287
643,Amboori,644,81.0,15920
644,Anad,645,24.15,31687
645,Andoorkonam,646,14.24,30781
646,Aruvikkara,647,21.86,33396
647,Aryanad,648,104.92,26361
648,Athiyannoor,649,14.71,26973
649,Azhoor,650,12.46,27390
650,Chemmaruthy,651,17.54,32444
651,Chenkal,652,19.37,36544
652,Edava,653,9.14,25994
653,Kadakkavoor,654,10.39,23155
654,Kadinamkulam,655,17.68,46476
655,Kallara,656,39.48,25844
656,Kallikkadu,657,106.27,13553
657,Kalliyoor,658,17.23,40816
658,Kanjiramkulam,659,10.29,18821
659,Karakulam,660,25.1,52417
660,Karavaram,661,22.07,30660
661,Karode,662,15.67,32090
662,Karumkulam,663,12.43,28290
663,Kilimanoor,664,19.0,20515
664,Kizhuvilam,665,14.74,32901
665,Kollayil,666,13.73,25077
666,Kottukal,667,12.19,33336
667,Kulathoor,668,11.24,32569
668,Kunnathukal,669,26.85,39414
669,Madavoor,670,17.24,21091
670,Malayinkeezh,671,43.53,37068
671,Manamboor,672,15.08,23198
672,Manickal,673,32.59,37906
673,Maranalloor,674,25.13,36832
674,Nagaroor,675,23.08,26512
675,Navaikulam,676,28.23,40702
676,Nellanad,677,18.46,25981
677,Ottasekharamangalam,678,18.14,18794
678,Ottoor,679,9.47,16085
679,Pallichal,680,21.7,45219
680,Pallickal,681,16.36,16900
681,Panavoor,682,21.9,20348
682,Pangode,683,23.31,29039
683,Parassala,684,20.02,52263
684,Pazhayakunnummel,685,23.51,24608
685,Perumkadavila,686,17.54,23385
686,Pulimath,687,26.93,32293
687,Pullampara,688,25.9,21817
688,Thiruppuram,689,8.57,18898
689,Tholicode,690,22.37,25274
690,Uzhamalakkal,691,18.74,21472
691,Vakkom,692,5.36,16533
692,Vamanapuram,693,23.87,21038
693,Vellanad,694,29.4,31156
694,Vellarada,695,31.6,40206
695,Vembayam,696,30.58,38630
696,Venganoor,697,13.8,35963
697,Vettoor,698,6.82,18704
698,Vilappil,699,19.3,36212
699,Vilavoorkkal,700,12.02,31761
700,Vithura,701,138.08,26249
701,Adat,702,23.22,31973
702,Alur,703,34.39,43488
703,Annamanada,704,25.08,30289
704,Anthikkad,705,12.99,21449
705,Avanur,706,18.25,22482
706,Avinissery,707,7.82,21707
707,Chazhoor,708,25.54,29141
708,Chelakkara,709,33.74,40450
709,Cherpu,710,20.88,37099
710,Choondal,711,19.98,32436
711,Chowwannur,712,9.9,16690
712,Desamangalam,713,23.35,21883
713,Edathiruthy,714,16.44,29325
714,Edavilangu,715,7.6,20363
715,Elavally,716,16.28,27209
716,Engandiyur,717,15.68,23583
717,Kadangode,718,32.05,32574
718,Kadappuram,719,9.63,25305
719,Kadavallur,720,24.84,36464
720,Kadukutty,721,17.63,25128
721,Kaipamangalam,722,13.62,35626
722,Kaiparamba,723,20.48,31299
723,Kandanassery,724,15.27,24452
724,Karalam,725,17.74,21315
725,Kattakampal,726,16.84,25903
726,Kattur,727,11.7,18017
727,Kodakara,728,21.29,32298
728,Kodassery,729,93.9,34198
729,Kolazhy,730,16.6,31567
730,Kondazhy,731,29.89,22403
731,Koratty,732,23.42,32523
732,Madakkathara,733,21.59,27181
733,Manalur,734,18.22,32886
734,Mattathur,735,103.11,47875
735,Melur,736,23.06,27659
736,Mullassery,737,11.25,21676
737,Mullurkara,738,44.28,20100
738,Muriyad,739,21.65,27059
739,Nadathara,740,20.19,31352
740,Nattika,741,9.61,19406
741,Nenmanikkara,742,11.41,22002
742,Orumanayur,743,5.0,11688
743,Padiyur,744,18.57,18745
744,Pananchery,745,141.71,45963
745,Panjal,746,30.39,25024
746,Paralam,747,17.04,24825
747,Parappukkara,748,22.015,29659
748,Pariyaram,749,16.8,23070
749,Pavaratty,750,9.25,20676
750,Pazhayannur,751,59.03,40256
751,Perinjanam,752,9.3,21012
752,Poomangalam,753,10.94,12541
753,Porkulam,754,13.47,16339
754,Poyya,755,19.78,22490
755,Pudukkad,756,15.41,36722
756,Punnayur,757,16.6,33368
757,Punnayurkulam,758,18.71,21416
758,Puthenchira,759,22.29,23375
759,Puthur,760,79.07,49284
760,Talikulam,761,10.89,25507
761,Thanniyam,762,18.15,29238
762,Thekkumkara,763,55.2,29511
763,Thiruvilwamala,764,37.94,28544
764,Tholur,765,17.2,18431
765,Trikkur,766,25.38,27874
766,Vadekkekad,767,13.72,26109
767,Valappad,768,16.33,35237
768,Vallachira,769,10.18,20233
769,Varandarappilly,770,103.0,40892
770,Varavoor,771,29.76,20045
771,Vatanappilly,772,13.18,30184
